Designator,Mid X,Mid Y,Rotation,Layer
SW9,143.8,-75.46,0.0,top
D1,114.53,-58.87,0.0,top
SW6,102.085,-62.295,0.0,top
SW11,113.465252,-83.956647,5.0,top
SW8,61.849441,-80.052457,5.0,top
SW2,102.085,-43.295,0.0,top
SW4,60.185,-61.095,5.0,top
SW5,121.095,-68.345,0.0,top
J1,142.61,-66.288554,0.0,top
SW3,83.085,-48.795,0.0,top
SW1,121.085,-49.345,0.0,top
SW7,83.085,-67.795,0.0,top
D3,71.48,-69.76,90.0,top
D4,114.53,-58.88,180.0,bottom
SW12,113.465252,-83.956647,-175.0,bottom
D2,71.485,-69.76,-90.0,bottom
